created_at;";data;;;;data_payload;;;;;vazao";
12/10/17;"01:20:54.712051-03;2017-10-12 01:20;01:20;12:07:00";"AM;7;0b00db76;00db76;56182;3;0,428571429;0,428571429"
12/10/17;"01:13:26.555469-03;2017-10-12 01:13;01:13;12:07:00";"AM;7;0b00db73;00db73;56179;4;0,571428571;0,571428571"
12/10/17;"01:06:03.231628-03;2017-10-12 01:06;01:06;12:08:00";"AM;8;0b00db6f;00db6f;56175;7;0,875;0,875"
12/10/17;"00:58:26.81247-03;2017-10-12 00:58;00:58;12:08:00";"AM;8;0b00db68;00db68;56168;6;0,75;0,75"
12/10/17;"00:50:54.878196-03;2017-10-12 00:50;00:50;12:07:00";"AM;7;0b00db62;00db62;56162;7;1;1"
12/10/17;"00:43:48.818927-03;2017-10-12 00:43;00:43;12:08:00";"AM;8;0b00db5b;00db5b;56155;5;0,625;0,625"
12/10/17;"00:35:59.366906-03;2017-10-12 00:35;00:35;12:07:00";"AM;7;0b00db56;00db56;56150;7;1;1"
12/10/17;"00:28:44.702327-03;2017-10-12 00:28;00:28;12:22:00";"AM;22;0b00db4f;00db4f;56143;18;0,818181818;0,818181818"
12/10/17;"00:06:11.985199-03;2017-10-12 00:06;00:06;12:08:00";"AM;8;0b00db3d;00db3d;56125;6;0,75;0,75"
11/10/17;"23:58:44.333987-03;2017-10-11 23:58;23:58;12:07:00";"AM;7;0b00db37;00db37;56119;6;0,857142857;0,857142857"
11/10/17;"23:51:12.347136-03;2017-10-11 23:51;23:51;12:07:00";"AM;7;0b00db31;00db31;56113;6;0,857142857;0,857142857"
11/10/17;"23:44:06.21192-03;2017-10-11 23:44;23:44;12:08:00";"AM;8;0b00db2b;00db2b;56107;8;1;1"
11/10/17;"23:36:16.650695-03;2017-10-11 23:36;23:36;12:08:00";"AM;8;0b00db23;00db23;56099;7;0,875;0,875"
11/10/17;"23:28:53.276105-03;2017-10-11 23:28;23:28;12:07:00";"AM;7;0b00db1c;00db1c;56092;8;1,142857143;1,142857143"
11/10/17;"23:21:25.567952-03;2017-10-11 23:21;23:21;12:08:00";"AM;8;0b00db14;00db14;56084;11;1,375;1,375"
11/10/17;"23:13:57.856543-03;2017-10-11 23:13;23:13;12:07:00";"AM;7;0b00db09;00db09;56073;9;1,285714286;1,285714286"
11/10/17;"23:06:25.830301-03;2017-10-11 23:06;23:06;12:15:00";"AM;15;0b00db00;00db00;56064;20;1,333333333;1,333333333"
11/10/17;"22:51:29.984687-03;2017-10-11 22:51;22:51;12:22:00";"AM;22;0b00daec;00daec;56044;39;1,772727273;1,772727273"
11/10/17;"22:29:05.650886-03;2017-10-11 22:29;22:29;12:08:00";"AM;8;0b00dac5;00dac5;56005;14;1,75;1,75"
11/10/17;"22:21:37.908897-03;2017-10-11 22:21;22:21;12:07:00";"AM;7;0b00dab7;00dab7;55991;20;2,857142857;2,857142857"
11/10/17;"22:14:31.733057-03;2017-10-11 22:14;22:14;12:08:00";"AM;8;0b00daa3;00daa3;55971;19;2,375;2,375"
11/10/17;"22:06:50.476448-03;2017-10-11 22:06;22:06;12:07:00";"AM;7;0b00da90;00da90;55952;20;2,857142857;2,857142857"
11/10/17;"21:59:26.705911-03;2017-10-11 21:59;21:59;12:07:00";"AM;7;0b00da7c;00da7c;55932;21;3;3"
11/10/17;"21:52:02.69892-03;2017-10-11 21:52;21:52;12:08:00";"AM;8;0b00da67;00da67;55911;22;2,75;2,75"
11/10/17;"21:44:25.739925-03;2017-10-11 21:44;21:44;12:07:00";"AM;7;0b00da51;00da51;55889;27;3,857142857;3,857142857"
11/10/17;"21:37:14.664922-03;2017-10-11 21:37;21:37;12:08:00";"AM;8;0b00da36;00da36;55862;37;4,625;4,625"
11/10/17;"21:29:28.528021-03;2017-10-11 21:29;21:29;12:15:00";"AM;15;0b00da11;00da11;55825;84;5,6;5,6"
11/10/17;"21:14:21.858982-03;2017-10-11 21:14;21:14;12:08:00";"AM;8;0b00d9bd;00d9bd;55741;51;6,375;6,375"
11/10/17;"21:06:57.115527-03;2017-10-11 21:06;21:06;12:14:00";"AM;14;0b00d98a;00d98a;55690;146;10,42857143;10,42857143"
11/10/17;"20:52:14.614159-03;2017-10-11 20:52;20:52;12:08:00";"AM;8;0b00d8f8;00d8f8;55544;100;12,5;12,5"
11/10/17;"20:44:43.837882-03;2017-10-11 20:44;20:44;12:15:00";"AM;15;0b00d894;00d894;55444;242;16,13333333;16,13333333"
11/10/17;"20:29:19.563-03;2017-10-11 20:29;20:29;12:07:00 AM";";7;0b00d7a2;00d7a2;55202;136;19,42857143;19,42857143"
11/10/17;"20:22:10.000971-03;2017-10-11 20:22;20:22;12:16:00";"AM;16;0b00d71a;00d71a;55066;291;18,1875;18,1875"
11/10/17;"20:06:49.355136-03;2017-10-11 20:06;20:06;12:15:00";"AM;15;0b00d5f7;00d5f7;54775;303;20,2;20,2"
11/10/17;"19:51:54.801932-03;2017-10-11 19:51;19:51;12:07:00";"AM;7;0b00d4c8;00d4c8;54472;112;16;16"
11/10/17;"19:44:15.069656-03;2017-10-11 19:44;19:44;12:08:00";"AM;8;0b00d458;00d458;54360;43;5,375;5,375"
11/10/17;"19:36:50.507828-03;2017-10-11 19:36;19:36;12:07:00";"AM;7;0b00d42d;00d42d;54317;3;0,428571429;0,428571429"
11/10/17;"19:29:17.2319-03;2017-10-11 19:29;19:29;12:15:00 A";"M;15;0b00d42a;00d42a;54314;6;0,4;0,4"
11/10/17;"19:14:15.785364-03;2017-10-11 19:14;19:14;12:08:00";"AM;8;0b00d424;00d424;54308;3;0,375;0,375"
11/10/17;"19:06:55.15104-03;2017-10-11 19:06;19:06;12:07:00";"AM;7;0b00d421;00d421;54305;3;0,428571429;0,428571429"
11/10/17;"18:59:26.888266-03;2017-10-11 18:59;18:59;12:08:00";"AM;8;0b00d41e;00d41e;54302;3;0,375;0,375"
11/10/17;"18:51:50.164247-03;2017-10-11 18:51;18:51;12:07:00";"AM;7;0b00d41b;00d41b;54299;4;0,571428571;0,571428571"
11/10/17;"18:44:26.459569-03;2017-10-11 18:44;18:44;12:15:00";"AM;15;0b00d417;00d417;54295;8;0,533333333;0,533333333"
11/10/17;"18:29:29.931601-03;2017-10-11 18:29;18:29;12:07:00";"AM;7;0b00d40f;00d40f;54287;6;0,857142857;0,857142857"
11/10/17;"18:22:06.549421-03;2017-10-11 18:22;18:22;12:08:00";"AM;8;0b00d409;00d409;54281;4;0,5;0,5"
11/10/17;"18:14:47.520212-03;2017-10-11 18:14;18:14;12:07:00";"AM;7;0b00d405;00d405;54277;5;0,714285714;0,714285714"
